50 1000
21 10 41
42 32 4
35 47 33
37 42 34
10 43 49
10 24 39
18 23 10
37 17 18
48 14 26
29 49 16
36 47 45
43 31 25
32 49 9
27 2 23
46 22 6
38 32 0
49 50 19
13 13 3
42 46 47
29 33 7
26 44 18
46 34 22
39 13 50
27 3 42
44 4 37
15 22 40
45 19 26
5 41 14
29 13 31
14 47 22
35 25 1
30 39 44
3 8 39
22 8 16
39 4 30
45 39 4
27 18 28
3 42 46
6 12 3
39 48 6
44 30 32
42 45 45
16 48 40
26 7 16
38 4 30
32 21 13
43 23 23
31 28 47
22 21 42
15 46 44
47 45 31
12 24 44
35 49 48
5 38 43
7 8 12
4 14 33
31 49 39
37 11 45
43 6 32
40 29 20
47 43 23
38 36 21
25 9 2
17 31 44
50 22 19
38 45 33
36 45 34
41 21 5
13 21 12
3 13 11
13 35 23
10 44 32
22 9 19
44 18 8
48 30 13
17 26 26
33 8 8
30 9 25
26 9 30
20 36 38
31 42 44
11 10 40
43 40 17
37 25 38
8 9 29
9 17 14
28 36 24
39 17 35
8 12 13
5 24 28
24 39 44
25 2 24
7 46 21
6 32 1
5 12 16
39 47 50
13 14 28
12 10 36
45 45 12
29 43 45
27 38 8
2 28 24
50 12 26
27 16 11
33 31 43
19 49 17
7 1 42
36 4 33
9 17 21
46 7 24
19 27 1
21 27 35
10 1 37
6 8 49
8 5 37
12 48 34
49 24 2
27 19 46
49 25 0
9 17 44
41 18 22
6 28 36
42 13 16
31 48 28
41 11 49
20 28 34
34 35 41
24 33 38
48 21 44
35 3 34
49 7 33
3 37 47
31 24 14
8 24 13
30 25 36
16 46 48
29 33 18
3 18 6
36 1 32
24 25 35
46 6 38
5 20 39
47 31 8
9 43 5
23 10 43
42 38 1
15 39 24
7 13 44
1 20 30
10 9 10
47 30 24
36 44 15
8 27 10
10 16 42
40 46 34
44 6 27
13 50 0
14 7 5
16 21 39
45 48 17
37 26 5
36 25 7
13 44 23
23 43 10
28 32 30
50 6 45
46 35 18
45 25 45
23 34 22
4 17 12
25 47 43
9 21 23
34 20 31
21 36 10
16 4 33
8 35 0
20 16 42
16 32 32
20 37 18
50 12 49
45 34 47
12 13 43
30 32 43
20 48 8
24 20 33
45 15 45
5 2 32
44 41 34
40 8 46
46 44 37
8 14 17
5 21 30
2 5 9
9 40 17
34 49 34
24 23 26
48 42 1
43 12 22
39 13 2
45 36 46
17 25 14
49 26 45
11 50 13
23 43 9
20 9 42
11 40 19
13 30 2
50 1000
1 2 26
1 3 0
1 4 40
3 5 23
5 6 34
6 7 39
4 8 49
6 9 37
8 10 17
6 11 16
3 12 21
11 13 46
5 14 43
9 15 13
5 16 3
16 17 44
17 18 24
12 19 5
4 20 34
20 21 24
6 22 24
4 23 41
8 24 26
14 25 32
20 26 23
13 27 16
23 28 10
10 29 46
16 30 5
7 31 42
2 32 30
20 33 33
13 34 36
3 35 41
5 36 3
10 37 43
6 38 47
20 39 25
18 40 33
22 41 44
13 42 48
38 43 29
28 44 0
26 45 14
13 46 49
38 47 7
29 48 48
11 49 46
39 50 21
36 28 8
21 46 21
30 36 25
16 2 50
10 23 46
25 48 3
18 2 44
27 14 4
48 49 44
6 41 6
50 8 8
11 24 23
22 27 49
27 40 38
46 7 19
9 41 33
24 1 3
17 25 13
7 20 29
11 10 16
4 22 11
31 44 12
21 19 8
12 14 7
23 27 39
22 20 21
37 6 30
41 35 42
31 28 14
20 38 41
18 29 27
49 14 15
42 42 19
7 4 22
39 30 40
27 41 47
35 50 35
20 28 46
26 8 48
26 27 10
42 28 1
47 12 18
46 22 0
27 33 12
18 10 5
39 35 38
40 29 34
36 40 13
9 38 26
22 16 3
34 39 46
15 49 5
42 37 44
47 15 25
19 28 42
43 42 29
12 34 40
25 20 37
2 21 41
25 42 7
45 33 21
29 6 5
15 48 8
6 43 1
48 29 50
9 45 7
40 27 41
48 46 31
47 32 2
18 2 24
11 15 19
4 24 44
8 34 2
16 39 13
37 24 5
39 49 20
3 46 13
15 6 27
48 33 44
31 43 16
41 46 17
35 30 35
48 50 49
17 18 28
17 14 16
5 37 1
20 45 35
6 40 14
49 44 50
2 29 43
21 20 27
33 14 21
7 46 32
46 11 29
41 45 2
38 12 35
29 46 3
3 49 27
2 34 47
25 2 42
34 17 22
7 5 11
31 14 12
35 2 35
26 24 26
4 22 12
31 2 12
31 36 43
22 22 20
45 27 33
32 45 43
41 26 39
27 18 27
30 31 44
15 43 9
2 34 1
9 46 40
18 8 39
6 1 16
16 37 21
44 2 4
7 3 34
28 13 41
21 24 42
31 2 41
17 31 1
36 16 36
41 17 48
35 42 22
15 36 1
40 47 10
45 19 0
43 12 42
46 18 8
20 8 0
49 9 16
12 48 13
46 22 30
41 11 14
45 24 6
26 34 20
16 39 37
33 31 19
6 34 26
23 1 15
4 30 7
10 11 11
24 45 5
27 28 27
35 35 42
17 2 31
17 18 28
6 35 3
10 10 18
6 42 19
17 17 42
18 44 45
39 35 19
44 47 8
31 37 47
18 6 12
19 5 16
44 7 41
50 24 16
19 43 39
23 11 20
9 25 3
33 30 39
34 7 22
47 50 20
33 3 12
13 4 1
46 27 36
1 28 20
6 33 30
40 13 22
9 20 31
27 49 18
43 36 14
48 5 2
4 35 15
2 42 42
4 45 20
23 19 12
48 21 34
32 47 47
47 29 30
25 20 28
39 39 17
22 23 5
10 32 11
21 39 12
33 6 42
40 20 21
34 43 30
26 12 9
12 38 11
5 20 6
22 48 34
31 2 30
49 38 19
10 38 4
43 32 16
11 45 3
40 30 41
19 22 22
17 47 3
30 18 41
1 18 14
40 8 37
44 10 40
29 7 43
25 9 44
30 27 25
14 18 19
8 13 49
33 16 21
25 4 10
38 14 46
39 49 43
48 44 31
15 19 36
4 41 32
41 42 21
38 39 17
33 35 11
10 42 50
13 17 6
27 35 13
49 25 29
26 33 24
47 49 10
50 6 13
18 16 45
24 31 42
20 41 21
16 23 7
7 12 10
8 46 38
8 34 21
47 3 15
50 17 39
28 50 14
46 40 35
12 5 26
11 15 30
41 13 34
2 7 31
49 29 28
40 1 17
43 36 50
44 26 12
7 8 9
42 14 45
8 30 2
17 16 47
30 24 35
19 19 19
14 29 7
27 26 49
2 24 45
36 34 30
39 30 26
19 18 28
48 44 24
24 12 21
38 50 36
8 21 23
1 48 38
17 34 6
1 8 22
42 19 25
37 29 22
8 15 16
1 26 46
32 36 47
6 11 29
8 48 2
19 34 38
27 17 33
1 34 34
44 2 44
22 12 30
30 37 50
29 3 28
14 40 16
48 35 50
45 7 12
2 40 28
4 19 20
34 42 38
43 12 33
30 28 11
37 32 6
1 25 38
35 35 25
7 49 10
43 25 3
25 20 28
40 18 40
28 14 29
12 2 8
43 4 44
40 50 34
46 39 13
21 23 29
14 3 1
17 12 33
50 35 18
27 5 14
47 39 0
11 5 44
29 2 27
34 14 5
48 50 8
48 40 1
11 40 39
20 24 14
47 11 18
49 26 12
26 2 18
39 7 33
36 4 12
36 1 21
42 32 15
15 35 5
17 34 25
32 38 43
47 50 44
7 23 3
2 9 31
35 15 37
45 46 34
13 7 47
14 27 34
5 41 30
49 37 5
23 37 1
17 20 28
50 2 34
10 44 34
25 18 42
35 44 36
6 42 4
30 22 37
27 8 10
35 29 11
21 17 1
10 42 40
36 23 7
38 4 24
24 22 13
37 21 40
9 3 15
12 31 6
32 22 31
2 41 37
37 33 8
35 24 24
25 12 46
23 45 36
29 46 26
20 28 38
36 34 14
9 18 29
15 21 1
2 43 16
9 43 16
29 42 2
47 47 26
30 33 6
38 15 24
2 11 46
9 25 41
37 42 0
6 33 3
1 48 4
34 16 5
29 21 49
28 14 16
27 16 11
17 40 43
33 36 27
22 28 31
42 26 17
15 21 42
20 31 29
40 8 17
47 41 32
17 30 45
15 7 13
38 49 45
8 11 34
24 31 38
35 23 25
44 35 32
43 34 41
48 39 12
6 48 36
2 9 46
18 41 21
46 23 36
26 15 47
13 38 13
15 50 21
36 27 47
19 9 49
44 34 24
42 12 12
36 32 7
17 4 13
6 31 50
40 17 5
35 49 46
20 37 32
4 18 28
2 29 12
24 37 4
43 50 20
28 9 21
16 31 6
34 25 29
10 16 21
30 39 23
47 7 0
1 29 1
49 22 49
49 27 36
7 35 50
28 23 18
39 2 33
23 44 15
4 35 44
17 28 30
1 41 19
48 5 45
22 31 3
41 20 46
40 36 1
10 10 1
10 35 1
27 26 48
3 16 1
3 42 40
27 16 50
43 44 23
17 41 11
22 49 41
13 21 24
2 34 10
24 26 1
40 49 41
31 12 18
35 12 24
24 46 13
39 30 38
20 10 9
7 16 45
46 5 25
36 9 31
48 7 8
15 27 12
43 31 40
18 8 49
42 25 38
8 7 24
15 44 26
39 27 0
15 35 15
46 28 5
41 36 1
3 6 13
25 35 30
18 29 0
11 15 23
36 3 34
3 50 25
13 9 31
3 9 10
35 16 26
41 11 16
10 13 34
22 21 3
42 37 37
41 33 23
45 27 0
47 43 6
41 21 44
13 11 1
33 30 37
34 26 25
40 16 34
14 35 47
19 50 20
32 48 35
7 15 40
27 27 11
19 44 26
37 13 22
22 9 45
41 28 50
34 2 48
20 9 34
46 8 41
18 9 43
18 23 29
18 1 12
31 24 15
35 4 11
10 7 8
35 24 41
23 15 41
41 40 41
14 32 41
5 3 38
40 32 5
24 41 6
43 37 5
20 15 7
4 49 44
44 1 1
22 39 11
16 50 4
43 50 45
12 6 47
17 36 43
39 6 42
2 31 30
4 40 10
10 7 35
34 46 50
41 37 2
35 7 4
42 23 49
23 35 31
33 35 33
34 22 49
34 26 14
23 35 16
21 3 29
13 47 40
39 29 23
49 44 10
44 14 37
50 13 11
10 47 39
1 50 22
34 1 27
17 18 27
36 3 40
26 42 45
20 34 36
21 3 25
16 19 22
25 27 22
50 2 25
29 19 39
18 6 11
36 19 27
21 6 34
4 44 44
43 22 40
32 16 5
17 36 11
48 3 1
35 17 9
22 12 16
36 30 13
39 6 18
25 6 30
24 45 10
32 41 1
10 29 43
47 46 18
7 50 22
45 36 16
45 3 32
7 21 24
33 11 8
10 43 15
23 41 46
35 31 12
13 44 15
19 5 18
4 37 0
20 42 35
39 2 22
21 48 47
7 25 4
14 12 36
11 2 27
39 30 40
33 37 7
13 8 50
3 35 44
22 17 39
18 9 40
45 20 41
36 32 10
16 33 3
38 7 11
30 9 14
29 22 4
27 7 50
37 49 26
49 38 46
37 50 20
44 34 3
38 15 44
33 18 38
22 10 2
17 14 49
18 6 49
44 5 31
19 18 38
9 3 10
7 42 45
41 12 36
46 11 4
6 39 40
43 6 29
26 48 30
42 1 24
5 44 7
9 28 38
46 17 34
29 39 25
39 44 44
23 20 42
22 28 1
45 28 3
5 11 23
4 19 27
4 26 21
24 45 15
28 41 45
42 22 26
28 30 6
20 20 50
22 20 18
11 1 1
46 24 37
17 31 20
37 4 36
43 6 46
36 36 10
12 29 49
19 46 5
26 20 12
34 5 26
30 11 0
17 18 22
36 43 19
10 21 11
40 30 44
27 45 19
11 47 34
49 27 35
24 20 43
27 34 39
24 29 8
28 37 10
37 37 3
30 29 12
27 4 1
1 6 49
5 18 14
34 22 47
42 43 24
13 28 35
10 16 42
47 7 4
18 46 48
40 40 42
6 42 34
17 6 50
30 1 0
16 48 42
40 25 2
3 17 19
17 41 20
34 49 46
34 34 50
34 11 19
36 14 36
22 33 2
40 47 6
2 14 31
32 38 8
48 9 6
7 30 47
32 25 29
38 13 14
43 30 35
33 7 13
41 7 36
40 37 35
24 12 35
30 37 7
27 25 25
6 45 5
34 12 41
11 30 4
30 46 30
9 2 38
36 28 44
11 43 45
8 35 45
30 14 3
21 43 22
43 37 26
6 4 39
35 4 27
28 8 5
31 4 22
18 3 19
1 16 39
16 28 29
42 50 2
34 33 46
4 25 10
49 31 22
31 27 45
8 40 23
48 12 36
46 10 49
46 9 6
27 1 30
22 12 40
41 4 8
23 50 32
4 36 9
26 19 8
18 43 39
14 16 37
17 4 35
30 3 19
6 44 21
30 50 41
16 23 12
28 6 40
38 1 27
7 5 14
47 50 24
39 26 0
1 47 5
7 34 23
45 4 43
5 27 39
25 31 19
4 28 15
19 25 38
12 33 3
39 4 19
40 43 26
49 38 43
42 33 25
13 35 29
18 37 26
34 36 30
27 34 16
22 50 14
47 19 32
47 22 14
27 12 18
42 27 50
30 33 7
36 21 29
41 30 46
41 5 48
21 29 40
41 41 6
15 46 27
50 11 12
48 27 7
16 32 10
24 6 50
36 41 11
40 44 36
38 45 49
25 6 24
17 30 32
32 25 50
27 14 6
27 18 41
43 4 29
10 34 12
11 49 20
13 30 9
35 45 33
35 25 8
18 43 43
43 11 31
32 30 42
11 9 7
1 39 14
22 16 21
15 12 20
25 27 6
49 41 23
6 32 16
27 24 36
42 27 40
6 28 11
15 41 31
26 10 8
40 27 14
49 28 1
38 43 19
18 44 6
22 45 3
46 39 2
43 14 6
45 19 31
25 28 3
16 11 23
23 21 11
27 15 48
41 30 4
18 24 22
38 27 44
24 40 20
13 33 36
41 37 22
29 32 37
20 35 18
36 10 44
30 46 19
11 40 31
46 42 2
33 23 41
46 41 0
9 22 40
17 26 40
39 20 24
24 26 50
28 47 16
31 12 4
37 15 38
3 25 3
17 15 21
27 18 15
36 25 25
33 6 9
9 7 50
41 23 5
42 32 46
4 29 31
26 30 44
27 32 12
46 36 17
20 32 25
31 25 5
2 47 30
43 44 7
22 3 21
12 1 22
33 38 15
24 35 3
24 38 24
12 41 12
40 42 1
39 4 40
6 4 39
37 31 12
12 12 4
6 26 5
15 34 28
34 29 1
48 27 15
4 31 2
5 26 14
14 19 26
42 8 28
14 25 32
47 1 3
46 44 43
34 16 27
25 37 13
34 18 21
37 12 5
30 47 2
50 28 13
44 27 42
42 45 26
42 5 5
30 14 47
1 13 15
41 24 45
20 1 42
50 24 37
45 31 9
48 24 4
6 27 2
21 36 23
15 47 42
31 1 21
29 47 45
35 32 32
26 46 40
33 44 4
7 7 37
34 16 1
31 35 36
22 48 21
12 34 27
30 29 12
18 47 35
24 45 0
25 41 19
6 1 13
2 15 33
3 24 25
36 13 14
41 10 20
36 19 44
26 21 11
17 34 44
41 24 41
31 7 27
32 32 46
7 20 27
38 38 46
17 8 16
12 46 47
14 43 45
1 37 10
32 42 35
36 10 40
19 22 13
39 20 29
23 35 36
1 39 44
21 35 43
17 38 21
42 32 13
2 30 5
48 28 37
39 27 36
24 24 37
8 17 41
7 12 34
47 22 49
31 26 3
29 15 23
8 12 34
31 38 18
18 3 39
40 21 43
47 28 19
1 12 27
0 0
