30 200
14 19 30
27 4 44
25 21 1
23 15 34
26 12 28
23 3 40
14 21 41
20 21 0
17 20 18
23 1 22
4 1 9
25 23 19
25 18 32
22 14 35
15 4 43
3 16 40
30 7 50
15 19 28
6 5 20
11 24 5
8 8 26
3 1 0
19 21 4
16 5 5
26 12 8
13 24 18
2 10 20
1 25 44
22 24 13
4 9 28
12 26 43
16 13 39
25 21 45
5 7 37
26 10 19
3 23 46
18 12 11
29 8 35
21 11 27
4 12 50
25 23 27
15 16 48
27 27 27
4 2 8
21 22 22
30 29 9
30 29 37
4 25 17
7 30 40
28 8 29
13 16 36
19 23 40
19 24 29
9 28 17
14 12 9
23 22 15
17 19 15
24 26 12
4 16 12
19 15 32
24 1 15
19 21 7
26 14 24
3 12 42
13 1 38
7 22 6
12 11 27
30 200
1 2 49
1 3 30
3 4 30
4 5 50
2 6 25
3 7 25
3 8 28
2 9 20
8 10 29
7 11 47
1 12 40
12 13 17
4 14 28
12 15 22
10 16 39
15 17 44
9 18 44
5 19 24
3 20 46
18 21 38
7 22 2
5 23 41
12 24 37
13 25 43
1 26 1
16 27 29
21 28 4
7 29 40
3 30 12
6 9 41
23 4 8
7 8 36
25 27 26
23 14 43
26 21 8
11 28 42
8 4 21
7 5 47
22 1 28
6 7 0
20 25 10
25 24 25
18 28 37
22 30 50
1 25 20
12 18 50
18 4 50
14 4 16
2 20 43
29 29 48
3 1 38
14 5 26
18 7 26
12 17 28
22 9 28
20 26 9
8 29 24
12 10 28
17 18 10
12 8 8
10 28 13
2 18 8
25 13 13
2 9 34
11 13 27
26 19 28
25 5 3
10 20 19
24 26 31
8 22 34
2 24 39
28 21 46
5 29 8
10 17 18
28 18 34
18 9 16
3 14 47
24 10 48
25 25 18
6 4 25
3 4 36
20 11 15
5 4 49
15 5 19
29 10 28
29 4 39
14 23 21
19 10 31
1 22 5
9 12 8
18 19 46
29 3 8
7 24 50
27 20 40
24 22 0
28 21 29
27 2 4
12 14 22
24 5 23
29 26 40
5 16 2
15 18 48
8 7 17
23 16 5
29 29 6
10 22 3
26 21 48
30 3 3
13 11 11
23 20 28
4 8 30
26 21 2
8 12 12
16 22 14
7 13 16
12 9 35
27 19 46
7 25 18
29 3 25
27 22 6
29 18 32
10 8 49
19 16 5
10 17 37
28 22 18
27 12 15
30 25 14
12 27 21
27 26 33
6 28 32
30 8 39
19 27 44
8 4 9
6 18 32
1 24 42
29 20 10
21 9 21
28 20 22
5 25 17
20 16 26
3 4 39
22 24 16
24 8 13
14 5 25
1 29 25
2 29 38
15 18 39
20 2 12
13 7 23
13 28 41
16 1 40
8 26 31
25 15 11
19 4 13
5 5 42
23 20 21
13 25 5
6 23 27
24 13 43
13 11 41
3 18 43
28 8 13
28 12 28
8 17 16
9 1 20
5 28 16
27 6 31
9 19 20
6 29 2
17 8 40
14 14 35
10 27 47
6 25 1
30 17 50
26 30 39
28 22 28
28 24 12
10 27 4
1 1 46
17 26 7
25 27 4
17 18 45
12 30 28
26 8 32
26 11 37
19 19 20
9 10 10
27 16 6
21 27 46
19 8 33
21 25 39
2 25 26
15 11 26
2 17 23
7 16 18
28 7 10
29 8 4
26 15 21
13 21 48
8 17 3
30 200
1 2 36
1 3 24
3 4 43
4 5 22
1 6 9
5 7 0
2 8 48
1 9 26
4 10 16
3 11 18
8 12 15
3 13 13
3 14 20
14 15 46
6 16 28
1 17 43
13 18 7
9 19 23
11 20 8
19 21 10
5 22 50
18 23 48
13 24 40
14 25 49
18 26 9
19 27 19
10 28 32
14 29 24
16 30 40
5 8 11
6 3 4
26 3 14
10 22 21
2 18 47
21 3 50
20 19 30
20 24 30
4 22 43
13 9 29
12 10 22
20 24 37
26 20 21
17 2 13
26 3 26
21 19 1
18 26 6
30 13 41
15 19 3
2 19 39
25 29 49
24 8 0
19 16 28
23 25 7
25 17 30
15 12 30
27 25 8
6 8 44
22 2 29
2 22 1
28 1 37
15 24 27
18 6 30
6 17 35
30 23 18
4 16 28
17 12 45
30 5 32
17 26 5
27 21 5
14 14 1
27 27 24
23 17 48
26 21 15
6 11 31
11 22 40
15 30 39
7 3 32
21 25 49
17 23 44
6 29 13
1 1 45
4 2 41
4 15 8
29 1 3
26 21 24
7 16 2
13 11 29
24 20 44
4 20 47
11 14 20
2 26 41
14 29 9
5 28 10
22 18 9
7 15 31
19 3 49
18 16 40
25 29 8
17 21 43
26 11 6
28 11 30
5 5 35
16 11 38
7 7 19
14 7 39
26 18 12
25 26 15
30 20 39
3 12 40
10 28 28
29 12 33
18 10 46
11 10 34
5 27 45
14 26 16
30 12 3
5 9 41
20 12 28
10 18 45
16 30 2
8 25 27
29 5 26
22 26 15
19 20 35
4 28 27
18 26 44
22 26 10
28 4 48
26 7 16
1 5 31
30 15 1
15 1 44
2 17 11
2 27 13
21 26 38
8 29 12
2 29 47
19 23 45
2 12 5
21 12 36
4 3 32
19 23 35
8 29 19
3 27 31
28 5 16
8 24 43
25 6 31
4 28 1
16 21 36
13 29 38
2 19 25
7 7 40
24 5 11
1 3 27
1 2 11
1 29 19
19 24 40
5 9 46
3 8 2
30 19 38
13 7 48
14 22 35
27 26 23
10 29 3
18 26 20
6 10 25
21 28 50
16 13 12
1 4 4
7 8 37
13 16 17
6 10 36
26 6 5
17 27 28
23 16 44
23 21 11
30 9 6
6 3 49
27 29 0
27 12 19
13 2 50
5 13 3
8 23 21
5 21 24
9 11 30
1 21 33
14 8 11
20 17 43
7 21 27
4 23 44
6 28 37
27 6 31
8 27 45
5 27 22
9 16 14
25 11 42
13 13 40
16 7 23
20 30 30
9 4 19
30 200
1 2 30
2 3 18
3 4 31
2 5 32
4 6 47
5 7 17
6 8 44
5 9 13
2 10 38
10 11 7
2 12 26
12 13 33
4 14 16
5 15 15
6 16 29
8 17 16
9 18 43
13 19 31
8 20 9
14 21 0
11 22 26
2 23 20
12 24 1
23 25 40
18 26 36
18 27 47
22 28 14
10 29 16
24 30 9
27 26 42
23 14 47
7 10 29
16 26 41
8 25 6
20 28 33
16 17 46
24 23 8
30 21 46
10 27 46
10 7 0
6 24 4
29 22 8
12 7 21
26 5 30
27 15 39
16 2 30
8 2 10
29 15 19
16 19 41
22 4 18
1 13 25
9 1 35
29 3 1
22 28 26
17 19 48
23 3 9
11 8 46
28 15 14
5 4 16
17 5 30
6 16 12
3 28 5
1 30 2
29 19 26
22 20 28
19 18 43
20 6 39
16 11 25
28 17 0
1 15 35
9 9 37
5 20 7
11 5 20
10 3 44
5 13 7
30 20 21
27 8 46
20 28 29
15 20 28
7 15 11
27 29 5
7 3 8
9 6 5
13 29 34
16 24 24
3 7 40
10 15 28
13 5 4
27 27 11
26 3 14
3 6 10
18 6 42
4 15 47
13 20 41
4 14 19
4 14 27
15 6 24
3 12 18
17 6 50
9 12 47
18 13 15
15 9 44
18 7 4
1 4 12
4 20 7
23 10 42
10 3 3
15 10 3
7 5 45
23 25 41
24 14 21
4 19 12
10 26 50
20 15 49
7 8 47
23 6 8
17 29 22
26 26 28
13 27 5
20 19 17
15 17 38
27 17 13
5 26 7
29 9 16
28 15 9
25 3 4
26 3 23
25 3 16
1 6 39
6 9 48
20 2 9
3 30 1
3 3 36
12 30 23
21 26 31
19 20 25
11 19 5
21 29 35
15 9 45
11 16 10
11 27 6
27 5 29
4 30 45
27 6 46
18 6 33
26 9 30
30 29 44
7 19 34
19 9 25
20 10 34
20 3 30
28 29 33
22 14 1
17 11 1
25 4 2
4 29 33
7 27 33
23 6 36
14 18 23
8 19 33
29 5 10
26 9 46
15 23 11
13 10 44
16 22 40
25 2 5
16 11 7
8 5 28
3 26 6
26 14 48
29 28 39
1 7 42
2 21 48
7 2 10
25 2 15
18 25 36
20 7 49
6 8 34
20 25 12
11 3 20
4 8 29
28 8 4
4 26 35
7 23 9
5 3 9
14 1 15
18 23 15
15 22 34
6 17 12
18 19 6
11 15 15
11 30 37
3 19 7
10 23 40
19 30 20
26 20 44
2 1 44
18 21 4
17 6 10
29 3 6
0 0
